dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
12/11/2020,12,11,2020,4,24,Belgium,BE,BEL,11455519,Europe,1060.37098799
11/11/2020,11,11,2020,3034,150,Belgium,BE,BEL,11455519,Europe,1227.53931969
10/11/2020,10,11,2020,7359,183,Belgium,BE,BEL,11455519,Europe,1336.64830026
09/11/2020,9,11,2020,1440,203,Belgium,BE,BEL,11455519,Europe,1366.79097647
08/11/2020,8,11,2020,2989,207,Belgium,BE,BEL,11455519,Europe,1441.55843136
07/11/2020,7,11,2020,6557,214,Belgium,BE,BEL,11455519,Europe,1549.08738749
06/11/2020,6,11,2020,7628,202,Belgium,BE,BEL,11455519,Europe,1636.87913223
05/11/2020,5,11,2020,9157,192,Belgium,BE,BEL,11455519,Europe,1709.54279767
04/11/2020,4,11,2020,12036,168,Belgium,BE,BEL,11455519,Europe,1772.60410462
03/11/2020,3,11,2020,13845,205,Belgium,BE,BEL,11455519,Europe,1787.56632502
02/11/2020,2,11,2020,2664,159,Belgium,BE,BEL,11455519,Europe,1801.75162732
01/11/2020,1,11,2020,6307,175,Belgium,BE,BEL,11455519,Europe,1816.46942404
31/10/2020,31,10,2020,15390,187,Belgium,BE,BEL,11455519,Europe,1799.74386145
30/10/2020,30,10,2020,15079,139,Belgium,BE,BEL,11455519,Europe,1771.23358619
29/10/2020,29,10,2020,17986,140,Belgium,BE,BEL,11455519,Europe,1721.5108281
28/10/2020,28,10,2020,22184,132,Belgium,BE,BEL,11455519,Europe,1637.62986208
27/10/2020,27,10,2020,19858,121,Belgium,BE,BEL,11455519,Europe,1549.24451699
26/10/2020,26,10,2020,4893,94,Belgium,BE,BEL,11455519,Europe,1527.50826916
25/10/2020,25,10,2020,11554,93,Belgium,BE,BEL,11455519,Europe,1464.26364445
24/10/2020,24,10,2020,18875,94,Belgium,BE,BEL,11455519,Europe,1367.46314157
23/10/2020,23,10,2020,17685,55,Belgium,BE,BEL,11455519,Europe,1270.58407393
22/10/2020,22,10,2020,17481,60,Belgium,BE,BEL,11455519,Europe,1177.37136135
21/10/2020,21,10,2020,19260,51,Belgium,BE,BEL,11455519,Europe,1058.88698714
20/10/2020,20,10,2020,15559,52,Belgium,BE,BEL,11455519,Europe,968.87797052
19/10/2020,19,10,2020,4289,31,Belgium,BE,BEL,11455519,Europe,940.47244826
18/10/2020,18,10,2020,7993,23,Belgium,BE,BEL,11455519,Europe,885.61679309
17/10/2020,17,10,2020,13474,35,Belgium,BE,BEL,11455519,Europe,800.47006164
16/10/2020,16,10,2020,11813,35,Belgium,BE,BEL,11455519,Europe,727.11677227
