dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
19/11/2020,19,11,2020,1590,112,Belgium,BE,BEL,11455519,Europe,622.67802969
18/11/2020,18,11,2020,4338,140,Belgium,BE,BEL,11455519,Europe,690.35719813
17/11/2020,17,11,2020,5638,190,Belgium,BE,BEL,11455519,Europe,762.0518983
16/11/2020,16,11,2020,1033,184,Belgium,BE,BEL,11455519,Europe,776.29830652
15/11/2020,15,11,2020,2296,171,Belgium,BE,BEL,11455519,Europe,811.32072672
14/11/2020,14,11,2020,5574,181,Belgium,BE,BEL,11455519,Europe,897.07851735
13/11/2020,13,11,2020,6398,169,Belgium,BE,BEL,11455519,Europe,972.88477283
12/11/2020,12,11,2020,1945,196,Belgium,BE,BEL,11455519,Europe,1112.94826537
11/11/2020,11,11,2020,7587,211,Belgium,BE,BEL,11455519,Europe,1240.41520947
10/11/2020,10,11,2020,8533,194,Belgium,BE,BEL,11455519,Europe,1339.31077239
09/11/2020,9,11,2020,1447,209,Belgium,BE,BEL,11455519,Europe,1369.39234268
08/11/2020,8,11,2020,3045,207,Belgium,BE,BEL,11455519,Europe,1443.68840905
07/11/2020,7,11,2020,6640,214,Belgium,BE,BEL,11455519,Europe,1550.50155301
06/11/2020,6,11,2020,7649,204,Belgium,BE,BEL,11455519,Europe,1638.12743884
05/11/2020,5,11,2020,9208,198,Belgium,BE,BEL,11455519,Europe,1710.36336285
04/11/2020,4,11,2020,12091,172,Belgium,BE,BEL,11455519,Europe,1772.94455188
03/11/2020,3,11,2020,13851,207,Belgium,BE,BEL,11455519,Europe,1787.85439577
02/11/2020,2,11,2020,2665,161,Belgium,BE,BEL,11455519,Europe,1802.03096865
01/11/2020,1,11,2020,6308,175,Belgium,BE,BEL,11455519,Europe,1816.75749479
31/10/2020,31,10,2020,15398,186,Belgium,BE,BEL,11455519,Europe,1799.97955571
30/10/2020,30,10,2020,15082,139,Belgium,BE,BEL,11455519,Europe,1771.44309219
29/10/2020,29,10,2020,17990,141,Belgium,BE,BEL,11455519,Europe,1721.69414585
28/10/2020,28,10,2020,22189,132,Belgium,BE,BEL,11455519,Europe,1637.78699158
27/10/2020,27,10,2020,19862,121,Belgium,BE,BEL,11455519,Europe,1549.36672882
26/10/2020,26,10,2020,4893,94,Belgium,BE,BEL,11455519,Europe,1527.63048099
25/10/2020,25,10,2020,11556,93,Belgium,BE,BEL,11455519,Europe,1464.36839745
24/10/2020,24,10,2020,18876,94,Belgium,BE,BEL,11455519,Europe,1367.56789457
23/10/2020,23,10,2020,17687,55,Belgium,BE,BEL,11455519,Europe,1270.68009751
22/10/2020,22,10,2020,17483,62,Belgium,BE,BEL,11455519,Europe,1177.4499261
21/10/2020,21,10,2020,19260,52,Belgium,BE,BEL,11455519,Europe,1058.96555189
20/10/2020,20,10,2020,15559,52,Belgium,BE,BEL,11455519,Europe,968.96526469
19/10/2020,19,10,2020,4289,31,Belgium,BE,BEL,11455519,Europe,940.55974243
18/10/2020,18,10,2020,7995,23,Belgium,BE,BEL,11455519,Europe,885.68662843
17/10/2020,17,10,2020,13476,36,Belgium,BE,BEL,11455519,Europe,800.52243814
16/10/2020,16,10,2020,11813,35,Belgium,BE,BEL,11455519,Europe,727.16914877
15/10/2020,15,10,2020,12291,41,Belgium,BE,BEL,11455519,Europe,648.18538558
14/10/2020,14,10,2020,12577,34,Belgium,BE,BEL,11455519,Europe,564.44409022
13/10/2020,13,10,2020,9733,36,Belgium,BE,BEL,11455519,Europe,503.76591405
12/10/2020,12,10,2020,2403,26,Belgium,BE,BEL,11455519,Europe,487.50301056
11/10/2020,11,10,2020,4309,22,Belgium,BE,BEL,11455519,Europe,458.12852303
10/10/2020,10,10,2020,7787,19,Belgium,BE,BEL,11455519,Europe,404.32039788
09/10/2020,9,10,2020,6588,20,Belgium,BE,BEL,11455519,Europe,362.48903258
08/10/2020,8,10,2020,6803,20,Belgium,BE,BEL,11455519,Europe,321.40839712
07/10/2020,7,10,2020,5687,18,Belgium,BE,BEL,11455519,Europe,289.86901423
06/10/2020,6,10,2020,5249,14,Belgium,BE,BEL,11455519,Europe,263.28794007
05/10/2020,5,10,2020,1035,14,Belgium,BE,BEL,11455519,Europe,258.27725483
04/10/2020,4,10,2020,1709,15,Belgium,BE,BEL,11455519,Europe,251.16278014
03/10/2020,3,10,2020,3720,11,Belgium,BE,BEL,11455519,Europe,233.60792296
02/10/2020,2,10,2020,3410,15,Belgium,BE,BEL,11455519,Europe,219.13454991
01/10/2020,1,10,2020,3243,6,Belgium,BE,BEL,11455519,Europe,207.77757865
30/09/2020,30,9,2020,2984,10,Belgium,BE,BEL,11455519,Europe,195.94048947
29/09/2020,29,9,2020,2782,13,Belgium,BE,BEL,11455519,Europe,186.72222533
28/09/2020,28,9,2020,540,12,Belgium,BE,BEL,11455519,Europe,184.63589472
27/09/2020,27,9,2020,944,6,Belgium,BE,BEL,11455519,Europe,181.78137542
26/09/2020,26,9,2020,1623,5,Belgium,BE,BEL,11455519,Europe,178.82210313
25/09/2020,25,9,2020,1796,4,Belgium,BE,BEL,11455519,Europe,173.12179396
24/09/2020,24,9,2020,2097,8,Belgium,BE,BEL,11455519,Europe,163.75512973
23/09/2020,23,9,2020,2074,1,Belgium,BE,BEL,11455519,Europe,153.25364132
22/09/2020,22,9,2020,2204,3,Belgium,BE,BEL,11455519,Europe,142.02761132
21/09/2020,21,9,2020,461,3,Belgium,BE,BEL,11455519,Europe,139.35640978
20/09/2020,20,9,2020,894,8,Belgium,BE,BEL,11455519,Europe,134.36318337
19/09/2020,19,9,2020,1709,6,Belgium,BE,BEL,11455519,Europe,125.79962549
18/09/2020,18,9,2020,1752,1,Belgium,BE,BEL,11455519,Europe,116.41550243
17/09/2020,17,9,2020,1942,2,Belgium,BE,BEL,11455519,Europe,104.47366025
16/09/2020,16,9,2020,1628,3,Belgium,BE,BEL,11455519,Europe,95.19429019
15/09/2020,15,9,2020,1726,4,Belgium,BE,BEL,11455519,Europe,85.66176705
14/09/2020,14,9,2020,301,1,Belgium,BE,BEL,11455519,Europe,84.05555436
13/09/2020,13,9,2020,617,1,Belgium,BE,BEL,11455519,Europe,80.37174047
12/09/2020,12,9,2020,1284,5,Belgium,BE,BEL,11455519,Europe,74.52303121
11/09/2020,11,9,2020,1143,3,Belgium,BE,BEL,11455519,Europe,69.2155458
10/09/2020,10,9,2020,1024,2,Belgium,BE,BEL,11455519,Europe,64.86829623
09/09/2020,9,9,2020,871,3,Belgium,BE,BEL,11455519,Europe,61.86537685
08/09/2020,8,9,2020,918,4,Belgium,BE,BEL,11455519,Europe,59.15052823
07/09/2020,7,9,2020,155,2,Belgium,BE,BEL,11455519,Europe,58.80135156
06/09/2020,6,9,2020,322,1,Belgium,BE,BEL,11455519,Europe,57.76255096
05/09/2020,5,9,2020,728,2,Belgium,BE,BEL,11455519,Europe,55.8595381
04/09/2020,4,9,2020,677,4,Belgium,BE,BEL,11455519,Europe,55.02151408
03/09/2020,3,9,2020,574,2,Belgium,BE,BEL,11455519,Europe,55.35323192
02/09/2020,2,9,2020,565,3,Belgium,BE,BEL,11455519,Europe,56.74993861
01/09/2020,1,9,2020,634,3,Belgium,BE,BEL,11455519,Europe,57.38718604
31/08/2020,31,8,2020,117,1,Belgium,BE,BEL,11455519,Europe,57.51812729
30/08/2020,30,8,2020,195,6,Belgium,BE,BEL,11455519,Europe,57.23878595
29/08/2020,29,8,2020,614,4,Belgium,BE,BEL,11455519,Europe,57.0030917
28/08/2020,28,8,2020,535,3,Belgium,BE,BEL,11455519,Europe,58.17283355
27/08/2020,27,8,2020,526,4,Belgium,BE,BEL,11455519,Europe,58.89737514
26/08/2020,26,8,2020,527,5,Belgium,BE,BEL,11455519,Europe,60.56469375
25/08/2020,25,8,2020,607,5,Belgium,BE,BEL,11455519,Europe,62.88671862
